default: compile-time allocation table (35 entries)
  framebuffer                76,800 B
  row_diff                    1,284 B
  app                        52,800 B
  map_cache                  37,084 B
  map_tables                  4,416 B
  route_cache                 9,260 B
  route_index                12,400 B
  arena_total               131,072 B
  arena_usb                 131,072 B
  arena_render              126,888 B
  arena_nav                  97,440 B
  terrain                     2,152 B
  terrain_window                 24 B
  stack_reserve              65,536 B
  ble_total                  24,949 B
  ble_mpsl                        0 B
  ble_sdc_memory             11,336 B
  ble_host_resources          6,120 B
  ble_packet_pool             4,036 B
  ble_cracen                      0 B
  ble_object_store              116 B
  ble_server                  2,168 B
  ble_gap_name                   52 B
  ble_sensor_manager            358 B
  usb_named                  35,973 B
  sd_bounce                   2,048 B
  semmc_driver                   52 B
  flat_store                 10,152 B
  flat_requests               3,064 B
  flat_ride_delta               500 B
  flat_catalog_uploads          737 B
  flat_map_read                  76 B
  flat_route_read                48 B
  flat_engine                   768 B
  ble_v4_adapter                763 B
default: allocation report matches baseline
