# OBCR_Spec.md §1.2 estimate: seconds = floor((36*distance_m + ascent_m*k*v) / (10*v))
bike,distance_m,ascent_m,seconds
0,0,0,0
0,1,0,0
0,0,1,1
0,22000,0,3600
0,30000,1500,7309
0,30000,0,4909
0,5000,600,1778
0,42195,812,8203
0,81000,2431,17144
0,300000,5000,57090
0,4000000000,0,654545454
0,0,4000000000,4294967295
1,0,0,0
1,1,0,0
1,0,1,1
1,22000,0,4168
1,30000,1500,8534
1,30000,0,5684
1,5000,600,2087
1,42195,812,9537
1,81000,2431,19966
1,300000,5000,66342
1,4000000000,0,757894736
1,0,4000000000,4294967295
2,0,0,0
2,1,0,0
2,0,1,2
2,22000,0,4950
2,30000,1500,10200
2,30000,0,6750
2,5000,600,2505
2,42195,812,11361
2,81000,2431,23816
2,300000,5000,79000
2,4000000000,0,900000000
2,0,4000000000,4294967295
3,0,0,0
3,1,0,0
3,0,1,2
3,22000,0,4658
3,30000,1500,9652
3,30000,0,6352
3,5000,600,2378
3,42195,812,10721
3,81000,2431,22501
3,300000,5000,74529
3,4000000000,0,847058823
3,0,4000000000,4294967295
